,Site,Lat,Lon,Elev,Climate,continent,country_code
23772,GOT_Seaprism,9.2862,101.4123,10.0,Af,Asia,nan
85589,Lerwick_MO,60.139372,-1.185113,82.0,Cfc,Europe,UK
85579,Joberg,-26.186133,28.029167,1736.0,Cwb,Africa,ZA
85577,DRAGON_NREL-Golden,39.743725,-105.17799,1833.0,BSk,North America,US
85576,San_Nicolas,33.256889,-119.486972,133.0,Csb,North America,US
85405,SMART,24.249321,55.612064,250.0,BWh,Asia,AE
85590,Section-7_Platform,44.5458,29.4466,30.0,BSk,Europe,nan
137528,Casablanca_Platform,40.717,1.358,35.0,Csa,Europe,Es
0,Chiang_Mai_Met_Sta,18.771125,98.972467,312.0,Aw,Asia,TH
3300,DEWA_ResearchCentre,24.766847,55.369125,86.8,BWh,Asia,AE
3742,Sandia_NM_PSEL,35.054583,-106.540069,1662.5,BSk,North America,US
3755,UMBC,39.254628,-76.709353,79.0,Cfa,North America,US
3884,DRAGON_SeabrookPark,29.583047,-95.015544,4.0,Cfa,North America,US
3890,Peterhof,59.881,29.826,58.0,Dfb,Europe,RU
3903,Rio_Branco,-9.957467,-67.86935,212.0,Af,South America,BR
4640,Niabrara,42.764833,-100.02,730.0,Dfa,North America,US
4643,Sigma_Space_Corp,38.953,-76.836472,44.8,Cfa,North America,US
4662,Gorongosa,-18.978417,34.35075,30.0,Aw,Africa,MZ
4716,Bayfordbury,51.77632,-0.09624,75.0,Cfb,Europe,GB
4747,Rome_Tor_Vergata,41.83955,12.647333,130.0,Csb,Europe,IT
5266,Ersa,43.003669,9.359289,80.0,Csb,Europe,FR
5397,Helsinki_Lighthouse,59.94897,24.92636,20.0,Dfb,Europe,FI
5418,Venise,45.3139,12.5083,10.0,Cfa,Europe,IT
6821,Aubiere_LAMP,45.76096,3.111072,423.0,Cfb,Europe,FR
6916,Concepcion,-16.138167,-62.028,500.0,Aw,South America,BO
7042,Langtang,28.012233,85.492517,3670.0,Cwb,Asia,NP
7046,Montesoro_Bastia,42.671983,9.43505,49.9,Csb,Europe,FR
7049,Gustav_Dalen_Tower,58.59417,17.46683,25.0,Cfb,Europe,SE
7096,Muscat,23.606383,58.435667,22.0,BWh,Asia,OM
7106,DRAGON_Aldino,39.563433,-76.203932,127.0,Cfa,North America,US
7135,Toravere,58.264895,26.466823,85.0,Dfc,Europe,EE
7240,FLIN_FLON,54.669998,-101.690002,305.0,Dfc,North America,CA
7262,Pontianak,0.07538,109.19086,2.0,Af,Asia,ID
7375,Churchill,58.736,-93.818167,10.0,Dfc,North America,CA
7496,DRAGON_BLTNR,39.2156,-76.6186,50.0,Cfa,North America,US
7520,Ilorin,8.4841,4.6745,400.0,Aw,Africa,NG
12326,SEARCH-Yorkville,33.92833,-85.04555,394.0,Cfa,North America,US
12346,Hampton_University,37.0204,-76.3365,12.12,Cfa,North America,US
12416,Aire_Adour,43.7,0.25,80.0,Cfb,Europe,FR
12419,KONZA_EDC,39.102328,-96.6096,341.0,Cfa,North America,US
12595,IHOP-Homestead,36.558333,-100.606183,850.0,BSk,North America,US
12596,Yonsei_University,37.56443,126.93479,97.0,Dwa,Asia,KR
14296,Leland_HS,33.402128,-90.89285,37.0,Cfa,North America,US
14336,Lampedusa,35.516667,12.631667,45.0,BSh,Europe,IT
14669,Carloforte,39.139908,8.309875,15.0,Csa,Europe,IT
14682,Berlin_FUB,52.4575,13.310333,80.0,Cfb,Europe,DE
14720,Dalanzadgad,43.577222,104.419167,1470.0,BWk,Asia,MN
14786,UAHuntsville,34.72533,-86.64473,223.0,Cfa,North America,US
14870,Bidur,27.8955,85.140096,576.0,Cwb,Asia,NP
15116,DRAGON_Channel_View,29.8025,-95.125556,10.0,Cfa,North America,US
15128,Key_Biscayne2,25.731966,-80.16333,0.0,Aw,North America,US
15142,Mukdahan,16.606667,104.676111,166.0,Aw,Asia,TH
16223,SAGRES,37.047706,-8.873517,26.0,Csb,Europe,PT
16244,Kashi,39.5043,75.9304,1320.0,BWk,Asia,CN
16253,Howland,45.2041,-68.7402,120.0,Dfb,North America,US
16307,DRAGON_West_Houston,29.833056,-95.656944,34.0,Cfa,North America,US
16326,ETNA,37.6135,15.019433,736.0,Csa,Europe,IT
16375,DRAGON_Henties_6,-22.166667,14.430668,80.0,BWk,Africa,NA
16381,Hong_Kong_Sheung,22.4833,114.1166,40.0,Cwa,Asia,CN
16598,Chequamegon,45.933333,-90.25,485.0,Dfb,North America,US
16611,LSU,30.406778,-91.183883,15.0,Cfa,North America,US
16613,Mongu,-15.253611,23.150833,1047.0,Aw,Africa,ZM
18171,Rame_Head,50.317132,-4.219809,105.0,Cfb,Europe,GB
18193,Norfolk_State_Univ,36.848,-76.259,20.0,Cfa,North America,US
18266,DRAGON_Clinton,29.733611,-95.2575,10.0,Cfa,North America,US
18277,Rome_La_Sapienza,41.901695,12.515773,75.0,Csb,Europe,IT
18359,Los_Fieros,-14.55,-60.616667,734.0,Aw,South America,BO
18404,Metsi,-26.490781,27.132408,1404.0,Cwb,Africa,ZA
18405,Caceres,39.478583,-6.343467,397.0,Csa,Europe,ES
18478,DRAGON_Mt_Rokko,34.757,135.23,797.0,Cfa,Asia,JP
18494,NSPO_Taiwan,24.783995,121.001122,99.0,Cfa,Asia,TW
18714,USC_SEAPRISM_2,33.56371,-118.11782,31.0,BSk,North America,US
18716,Beijing_RADI,40.0048,116.3786,59.0,Dwa,Asia,CN
18931,CEILAP-Comodoro,-45.792153,-67.462875,49.0,BSk,South America,AR
